id	country	points	price
1		88.6	24.6
2	Argentina	86.7	24.5
3	Armenia	87.5	14.5
4	Australia	88.6	35.4
5	Austria	90.1	30.8
6	Bosnia and Herzegovina	86.5	12.5
7	Brazil	84.7	23.8
8	Bulgaria	87.9	14.6
9	Canada	89.4	35.7
10	Chile	86.5	20.8
11	China	89	18
12	Croatia	87.2	25.5
13	Cyprus	87.2	16.3
14	Czech Republic	87.2	24.2
15	England	91.6	51.7
16	France	88.8	41.1
17	Georgia	87.7	19.3
18	Germany	89.9	42.3
19	Greece	87.3	22.4
20	Hungary	89.2	40.6
21	India	90.2	13.3
22	Israel	88.5	31.8
23	Italy	88.6	39.7
24	Lebanon	87.7	30.7
25	Luxembourg	88.7	23.3
26	Macedonia	86.8	15.6
27	Mexico	85.3	26.8
28	Moldova	87.2	16.7
29	Morocco	88.6	19.5
30	New Zealand	88.3	26.9
31	Peru	83.6	18.1
32	Portugal	88.3	26.2
33	Romania	86.4	15.2
34	Serbia	87.5	24.5
35	Slovakia	87	16
36	Slovenia	88.1	24.8
37	South Africa	88.1	24.7
38	Spain	87.3	28.2
39	Switzerland	88.6	85.3
40	Turkey	88.1	24.6
41	Ukraine	84.1	9.2
42	Uruguay	86.8	26.4
43	US	88.6	36.6
